,name,model,seed,TN,FP,FN,TP,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,F1,MCC
156,rf_seed_14_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,14_skf_0,38,12,8,10,0.706,0.701,0.556,0.76,0.455,0.826,0.5,0.298
157,rf_seed_14_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,14_skf_1,39,11,7,11,0.735,0.762,0.611,0.78,0.5,0.848,0.55,0.369
158,rf_seed_14_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,14_skf_2,38,12,6,12,0.735,0.727,0.667,0.76,0.5,0.864,0.571,0.394
159,rf_seed_14_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,14_skf_3,36,14,8,10,0.676,0.749,0.556,0.72,0.417,0.818,0.476,0.254
160,rf_seed_14_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,14_skf_4,41,9,9,9,0.735,0.739,0.5,0.82,0.5,0.82,0.5,0.32
161,rf_seed_15_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,15_skf_0,39,11,7,11,0.735,0.748,0.611,0.78,0.5,0.848,0.55,0.369
162,rf_seed_15_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,15_skf_1,39,11,10,8,0.691,0.76,0.444,0.78,0.421,0.796,0.432,0.221
163,rf_seed_15_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,15_skf_2,39,11,9,9,0.706,0.776,0.5,0.78,0.45,0.812,0.474,0.271
164,rf_seed_15_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,15_skf_3,37,13,6,12,0.721,0.734,0.667,0.74,0.48,0.86,0.558,0.372
165,rf_seed_15_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,15_skf_4,34,16,6,12,0.676,0.714,0.667,0.68,0.429,0.85,0.522,0.311
166,rf_seed_16_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,16_skf_0,35,15,8,10,0.662,0.719,0.556,0.7,0.4,0.814,0.465,0.234
167,rf_seed_16_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,16_skf_1,41,9,9,9,0.735,0.741,0.5,0.82,0.5,0.82,0.5,0.32
168,rf_seed_16_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,16_skf_2,41,9,8,10,0.75,0.741,0.556,0.82,0.526,0.837,0.541,0.369
169,rf_seed_16_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,16_skf_3,38,12,6,12,0.735,0.774,0.667,0.76,0.5,0.864,0.571,0.394
170,rf_seed_16_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,16_skf_4,37,13,7,11,0.706,0.756,0.611,0.74,0.458,0.841,0.524,0.324
171,rf_seed_17_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,17_skf_0,37,13,6,12,0.721,0.734,0.667,0.74,0.48,0.86,0.558,0.372
172,rf_seed_17_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,17_skf_1,37,13,6,12,0.721,0.731,0.667,0.74,0.48,0.86,0.558,0.372
