,name,model,seed,TN,FP,FN,TP,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,F1,MCC
31,xgboost_seed_7_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,7_skf_0,599,82,58,179,0.847,0.901,0.755,0.88,0.686,0.912,0.719,0.616
32,xgboost_seed_7_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,7_skf_1,612,69,61,176,0.858,0.909,0.743,0.899,0.718,0.909,0.73,0.634
33,xgboost_seed_7_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,7_skf_2,609,72,60,177,0.856,0.906,0.747,0.894,0.711,0.91,0.728,0.631
34,xgboost_seed_7_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,7_skf_3,612,69,69,168,0.85,0.902,0.709,0.899,0.709,0.899,0.709,0.608
35,xgboost_seed_7_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,7_skf_4,604,77,63,174,0.847,0.905,0.734,0.887,0.693,0.906,0.713,0.61
36,xgboost_seed_8_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,8_skf_0,608,73,66,171,0.849,0.901,0.722,0.893,0.701,0.902,0.711,0.609
37,xgboost_seed_8_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,8_skf_1,609,72,64,173,0.852,0.907,0.73,0.894,0.706,0.905,0.718,0.618
38,xgboost_seed_8_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,8_skf_2,606,75,61,176,0.852,0.908,0.743,0.89,0.701,0.909,0.721,0.621
39,xgboost_seed_8_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,8_skf_4,609,72,65,172,0.851,0.908,0.726,0.894,0.705,0.904,0.715,0.614
40,xgboost_seed_9_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,9_skf_0,617,64,65,172,0.859,0.901,0.726,0.906,0.729,0.905,0.727,0.633
41,xgboost_seed_9_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,9_skf_1,616,65,69,168,0.854,0.906,0.709,0.905,0.721,0.899,0.715,0.617
42,xgboost_seed_9_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,9_skf_2,605,76,64,173,0.847,0.906,0.73,0.888,0.695,0.904,0.712,0.609
43,xgboost_seed_9_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,9_skf_3,612,69,66,171,0.853,0.906,0.722,0.899,0.712,0.903,0.717,0.618
44,xgboost_seed_10_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,10_skf_0,609,72,63,174,0.853,0.906,0.734,0.894,0.707,0.906,0.72,0.621
45,xgboost_seed_10_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,10_skf_1,612,69,61,176,0.858,0.903,0.743,0.899,0.718,0.909,0.73,0.634
46,xgboost_seed_10_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,10_skf_2,606,75,64,173,0.849,0.907,0.73,0.89,0.698,0.904,0.713,0.611
47,xgboost_seed_10_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,10_skf_3,614,67,64,173,0.857,0.905,0.73,0.902,0.721,0.906,0.725,0.629
48,xgboost_seed_10_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,10_skf_4,610,71,65,172,0.852,0.908,0.726,0.896,0.708,0.904,0.717,0.616
49,xgboost_seed_11_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,11_skf_1,607,74,68,169,0.845,0.901,0.713,0.891,0.695,0.899,0.704,0.6
50,xgboost_seed_11_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,11_skf_3,610,71,70,167,0.846,0.906,0.705,0.896,0.702,0.897,0.703,0.6
51,xgboost_seed_11_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,11_skf_4,602,79,63,174,0.845,0.906,0.734,0.884,0.688,0.905,0.71,0.605
52,xgboost_seed_12_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,12_skf_0,615,66,66,171,0.856,0.911,0.722,0.903,0.722,0.903,0.722,0.625
53,xgboost_seed_12_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,12_skf_1,610,71,63,174,0.854,0.903,0.734,0.896,0.71,0.906,0.722,0.623
54,xgboost_seed_12_skf_2_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,12_skf_2,610,71,67,170,0.85,0.905,0.717,0.896,0.705,0.901,0.711,0.61
55,xgboost_seed_12_skf_3_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,12_skf_3,609,72,67,170,0.849,0.901,0.717,0.894,0.702,0.901,0.71,0.607
56,xgboost_seed_12_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,12_skf_4,604,77,61,176,0.85,0.901,0.743,0.887,0.696,0.908,0.718,0.617
57,xgboost_seed_13_skf_0_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,13_skf_0,610,71,65,172,0.852,0.91,0.726,0.896,0.708,0.904,0.717,0.616
58,xgboost_seed_13_skf_1_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,13_skf_1,608,73,62,175,0.853,0.907,0.738,0.893,0.706,0.907,0.722,0.622
