2026-02-04 14:09:40,548|INFO|__main__.startLogging|>>>> START LOGGING A GMTAMES EXPERIMENT
2026-02-04 14:09:51,711|INFO|nn.computeOptunaObjective|Trial 36 rocauc:|[0.7062698773284871]
2026-02-04 14:09:51,711|INFO|nn.computeOptunaObjective|Trial 36 timings:|0.2109019579984306
2026-02-04 14:09:51,711|INFO|nn.computeOptunaObjective|Trial 36 objective:|0.5216946842344389
2026-02-04 14:09:51,925|INFO|nn.computeOptunaObjective|Trial 37 params:|{'n_layers': 3, 'architecture': 'linear', 'lr': 0.0001, 'n_epochs': 150}
2026-02-04 14:09:51,925|INFO|nn.computeOptunaObjective|Trial 37 balacc:|[0.5126079054975011]
2026-02-04 14:09:51,925|INFO|nn.computeOptunaObjective|Trial 37 rocauc:|[0.7082008178100864]
2026-02-04 14:09:51,925|INFO|nn.computeOptunaObjective|Trial 37 timings:|0.213827666000725
2026-02-04 14:09:51,925|INFO|nn.computeOptunaObjective|Trial 37 objective:|0.5126079054975011
2026-02-04 14:09:52,151|INFO|nn.computeOptunaObjective|Trial 38 params:|{'n_layers': 2, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 150}
2026-02-04 14:09:52,151|INFO|nn.computeOptunaObjective|Trial 38 balacc:|[0.49676283507496594]
2026-02-04 14:09:52,151|INFO|nn.computeOptunaObjective|Trial 38 rocauc:|[0.7012721490231713]
2026-02-04 14:09:52,151|INFO|nn.computeOptunaObjective|Trial 38 timings:|0.2256720419973135
2026-02-04 14:09:52,151|INFO|nn.computeOptunaObjective|Trial 38 objective:|0.49676283507496594
2026-02-04 14:09:52,502|INFO|nn.computeOptunaObjective|Trial 39 params:|{'n_layers': 4, 'architecture': 'linear', 'lr': 0.001, 'n_epochs': 200}
2026-02-04 14:09:52,502|INFO|nn.computeOptunaObjective|Trial 39 balacc:|[0.5181735574738755]
2026-02-04 14:09:52,502|INFO|nn.computeOptunaObjective|Trial 39 rocauc:|[0.7081440254429805]
2026-02-04 14:09:52,502|INFO|nn.computeOptunaObjective|Trial 39 timings:|0.3499357079999754
2026-02-04 14:09:52,502|INFO|nn.computeOptunaObjective|Trial 39 objective:|0.5181735574738755
2026-02-04 14:09:52,696|INFO|nn.computeOptunaObjective|Trial 40 params:|{'n_layers': 2, 'architecture': 'bottom', 'lr': 0.0001, 'n_epochs': 150}
2026-02-04 14:09:52,696|INFO|nn.computeOptunaObjective|Trial 40 balacc:|[0.5126079054975011]
2026-02-04 14:09:52,696|INFO|nn.computeOptunaObjective|Trial 40 rocauc:|[0.6778736937755566]
2026-02-04 14:09:52,696|INFO|nn.computeOptunaObjective|Trial 40 timings:|0.19353966700145975
2026-02-04 14:09:52,696|INFO|nn.computeOptunaObjective|Trial 40 objective:|0.5126079054975011
2026-02-04 14:09:53,134|INFO|nn.computeOptunaObjective|Trial 41 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.0001, 'n_epochs': 150}
2026-02-04 14:09:53,134|INFO|nn.computeOptunaObjective|Trial 41 balacc:|[0.5090867787369378]
2026-02-04 14:09:53,134|INFO|nn.computeOptunaObjective|Trial 41 rocauc:|[0.7076328941390277]
2026-02-04 14:09:53,134|INFO|nn.computeOptunaObjective|Trial 41 timings:|0.4371724170014204
2026-02-04 14:09:53,134|INFO|nn.computeOptunaObjective|Trial 41 objective:|0.5090867787369378
2026-02-04 14:09:53,426|INFO|nn.computeOptunaObjective|Trial 42 params:|{'n_layers': 3, 'architecture': 'bottom', 'lr': 0.0001, 'n_epochs': 200}
2026-02-04 14:09:53,426|INFO|nn.computeOptunaObjective|Trial 42 balacc:|[0.5090867787369378]
2026-02-04 14:09:53,426|INFO|nn.computeOptunaObjective|Trial 42 rocauc:|[0.7005906406179009]
2026-02-04 14:09:53,426|INFO|nn.computeOptunaObjective|Trial 42 timings:|0.29123012499985634
2026-02-04 14:09:53,426|INFO|nn.computeOptunaObjective|Trial 42 objective:|0.5090867787369378
2026-02-04 14:09:53,592|INFO|nn.computeOptunaObjective|Trial 43 params:|{'n_layers': 3, 'architecture': 'inner', 'lr': 0.001, 'n_epochs': 100}
2026-02-04 14:09:53,592|INFO|nn.computeOptunaObjective|Trial 43 balacc:|[0.5360631531122217]
2026-02-04 14:09:53,592|INFO|nn.computeOptunaObjective|Trial 43 rocauc:|[0.7087687414811449]
2026-02-04 14:09:53,592|INFO|nn.computeOptunaObjective|Trial 43 timings:|0.16556608300015796
2026-02-04 14:09:53,592|INFO|nn.computeOptunaObjective|Trial 43 objective:|0.5360631531122217
2026-02-04 14:09:53,845|INFO|nn.computeOptunaObjective|Trial 44 params:|{'n_layers': 4, 'architecture': 'bottom', 'lr': 0.0001, 'n_epochs': 150}
2026-02-04 14:09:53,845|INFO|nn.computeOptunaObjective|Trial 44 balacc:|[0.5]
2026-02-04 14:09:53,845|INFO|nn.computeOptunaObjective|Trial 44 rocauc:|[0.6767378464334394]
2026-02-04 14:09:53,845|INFO|nn.computeOptunaObjective|Trial 44 timings:|0.2526247079986206
